"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://finalboss.io/cdn-cgi/l/email-protection","text/html","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","2","","2","1","0","0.400","0","0","0","0","0","0","","","","","","0.347","","","","","","1.1","","","","","","https://finalboss.io/cdn-cgi/l/email-protection","2026-01-04 09:20:40"
"https://finalboss.io/guides/zelda-tears-of-the-kingdom-guide","text/html","308","Permanent Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","1","","1","1","0","0.400","0","0","0","0","0","0","","","","","","0.130","","https://finalboss.io/zelda-tears-of-the-kingdom-guide","HTTP Redirect","","","1.1","","","","","","https://finalboss.io/guides/zelda-tears-of-the-kingdom-guide","2026-01-04 09:20:40"
"https://finalboss.io/cyberpunk-2077-phantom-liberty-ran-terribly-on-my","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","0","","2","1","0","0.400","0","0","0","0","0","0","","","","","","0.560","","","","","","1.1","","","","","","https://finalboss.io/cyberpunk-2077-phantom-liberty-ran-terribly-on-my","2026-01-04 09:20:53"
"https://finalboss.io/guides/hogwarts-legacy-guide","text/html","308","Permanent Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","1","","1","1","0","0.400","0","0","0","0","0","0","","","","","","0.358","","https://finalboss.io/hogwarts-legacy-guide","HTTP Redirect","","","1.1","","","","","","https://finalboss.io/guides/hogwarts-legacy-guide","2026-01-04 09:21:12"
"https://finalboss.io/guides/elden-ring-guide","text/html","308","Permanent Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","1","","1","1","0","0.400","0","0","0","0","0","0","","","","","","0.101","","https://finalboss.io/elden-ring-guide","HTTP Redirect","","","1.1","","","","","","https://finalboss.io/guides/elden-ring-guide","2026-01-04 09:21:13"
"https://finalboss.io/guides/gaming-gear-guide","text/html","308","Permanent Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","1","","1","1","0","0.400","0","0","0","0","0","0","","","","","","0.338","","https://finalboss.io/gaming-gear-guide","HTTP Redirect","","","1.1","","","","","","https://finalboss.io/guides/gaming-gear-guide","2026-01-04 09:21:15"
"https://finalboss.io/guides/pokemon-scarlet-violet-guide","text/html","308","Permanent Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","1","","1","1","0","0.400","0","0","0","0","0","0","","","","","","0.119","","https://finalboss.io/pokemon-scarlet-violet-guide","HTTP Redirect","","","1.1","","","","","","https://finalboss.io/guides/pokemon-scarlet-violet-guide","2026-01-04 09:21:15"
"https://finalboss.io/","text/html; charset=utf-8","200","OK","Indexable","","FinalBoss.io - Your Ultimate Gaming Destination","47","428","Discover the latest gaming news, reviews, guides, and cutting-edge technology at FinalBoss.io. Stay ahead in the gaming world.","126","784","","0","","0","","0","Game Database","13","Level Up Your Gaming Knowledge","30","index, follow","","","https://finalboss.io/","","","","","","90050","13543","13543","5.188","","29","5","5.800","66.755","Normal","0.717","0","0","","396","246","0","98.800","21","14","0","4","4","0","","","","","45029066ba421c2ec7cf310108f5239f","0.584","","","","","en","1.1","","","","","","https://finalboss.io/","2026-01-04 09:20:28"
"https://finalboss.io/_next/static/chunks/2637-203639d7bfe9fc30.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.299","Fri, 02 Jan 2026 22:19:49 GMT","","","","","1.1","","","","","","https://finalboss.io/_next/static/chunks/2637-203639d7bfe9fc30.js","2026-01-04 09:20:29"
"https://finalboss.io/_next/static/chunks/main-app-dd9357982cbe95c2.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.255","Wed, 26 Nov 2025 23:08:25 GMT","","","","","1.1","","","","","","https://finalboss.io/_next/static/chunks/main-app-dd9357982cbe95c2.js","2026-01-04 09:20:30"
